dateTime,buysRatio,markPrice,sellsRatio
12/02/2020 10:31:44,0,302.895,0.03537623339777549
12/02/2020 10:31:48,0,302.885,0.03416937972511716
12/02/2020 10:31:51,0,302.875,0.0309451898796851
12/02/2020 10:31:57,0.002168915108662647,302.925,0.03343547386988219
12/02/2020 10:32:04,0.0023851192410550576,302.94,0.01689897906857489
12/02/2020 10:32:04,0.0023851192410550576,302.94,0.01689897906857489
12/02/2020 10:32:11,0.007622867429539784,302.975,0
12/02/2020 10:32:12,0.006469542518958572,302.965,0.008838265269484231
12/02/2020 10:32:22,0.0025519535204198813,302.93,0.0038593860268172197
12/02/2020 10:32:22,0.0025519535204198813,302.93,0.0038593860268172197
12/02/2020 10:32:32,0.014474150537122027,302.89,0.00477763113104445
12/02/2020 10:32:34,0.0028196234040490965,302.90,0.004109066361421737
